	Posteriors	FDR
4729	0.0	0.0
4731	0.0	0.0
4738	0.0	0.0
4840	0.0	0.0
4743	0.0	0.0
4744	0.0	0.0
4746	0.0	0.0
4893	0.0	0.0
4594	0.0	0.0
4898	0.0	0.0
4901	0.0	0.0
4418	0.0	0.0
4424	0.0	0.0
4427	0.0	0.0
4429	0.0	0.0
4961	0.0	0.0
4960	0.0	0.0
4437	0.0	0.0
4958	0.0	0.0
4964	0.0	0.0
4439	0.0	0.0
4444	0.0	0.0
4445	0.0	0.0
4446	0.0	0.0
4454	0.0	0.0
4954	0.0	0.0
4456	0.0	0.0
4952	0.0	0.0
4463	0.0	0.0
4442	0.0	0.0
4970	0.0	0.0
4409	0.0	0.0
4408	0.0	0.0
4378	0.0	0.0
4381	0.0	0.0
4382	0.0	0.0
4383	0.0	0.0
4384	0.0	0.0
4385	0.0	0.0
4386	0.0	0.0
4988	0.0	0.0
4987	0.0	0.0
4390	0.0	0.0
4985	0.0	0.0
4984	0.0	0.0
4396	0.0	0.0
4398	0.0	0.0
4400	0.0	0.0
4401	0.0	0.0
4403	0.0	0.0
4405	0.0	0.0
4974	0.0	0.0
4467	0.0	0.0
4372	0.0	0.0
4469	0.0	0.0
4475	0.0	0.0
4544	0.0	0.0
4913	0.0	0.0
4547	0.0	0.0
4551	0.0	0.0
4553	0.0	0.0
4557	0.0	0.0
4558	0.0	0.0
4559	0.0	0.0
4917	0.0	0.0
4560	0.0	0.0
4564	0.0	0.0
4906	0.0	0.0
4568	0.0	0.0
4569	0.0	0.0
4572	0.0	0.0
4575	0.0	0.0
4578	0.0	0.0
4903	0.0	0.0
4907	0.0	0.0
4539	0.0	0.0
4535	0.0	0.0
4922	0.0	0.0
4478	0.0	0.0
4483	0.0	0.0
4485	0.0	0.0
4486	0.0	0.0
4492	0.0	0.0
4495	0.0	0.0
4496	0.0	0.0
4501	0.0	0.0
4507	0.0	0.0
4508	0.0	0.0
4934	0.0	0.0
4512	0.0	0.0
4931	0.0	0.0
4517	0.0	0.0
4519	0.0	0.0
4521	0.0	0.0
4523	0.0	0.0
4928	0.0	0.0
4923	0.0	0.0
4471	0.0	0.0
5563	0.0	0.0
3911	0.0	0.0
3909	0.0	0.0
3359	0.0	0.0
3360	0.0	0.0
3362	0.0	0.0
3363	0.0	0.0
3365	0.0	0.0
3368	0.0	0.0
3369	0.0	0.0
3371	0.0	0.0
3358	0.0	0.0
5422	0.0	0.0
5417	0.0	0.0
3377	0.0	0.0
5416	0.0	0.0
3381	0.0	0.0
3384	0.0	0.0
3385	0.0	0.0
5411	0.0	0.0
3390	0.0	0.0
3374	0.0	0.0
3391	0.0	0.0
5426	0.0	0.0
3352	0.0	0.0
5441	0.0	0.0
5439	0.0	0.0
3323	0.0	0.0
3325	0.0	0.0
3327	0.0	0.0
5436	0.0	0.0
3331	0.0	0.0
3332	0.0	0.0
3354	0.0	0.0
5433	0.0	0.0
3337	0.0	0.0
3339	0.0	0.0
3343	0.0	0.0
3344	0.0	0.0
3345	0.0	0.0
3347	0.0	0.0
3349	0.0	0.0
3351	0.0	0.0
3336	0.0	0.0
3393	0.0	0.0
3394	0.0	0.0
3395	0.0	0.0
3461	0.0	0.0
5386	0.0	0.0
3469	0.0	0.0
5383	0.0	0.0
3472	0.0	0.0
3473	0.0	0.0
5381	0.0	0.0
3477	0.0	0.0
3459	0.0	0.0
3478	0.0	0.0
5377	0.0	0.0
5376	0.0	0.0
5373	0.0	0.0
3488	0.0	0.0
5369	0.0	0.0
5366	0.0	0.0
3497	0.0	0.0
3499	0.0	0.0
3480	0.0	0.0
3455	0.0	0.0
3454	0.0	0.0
5394	0.0	0.0
3396	0.0	0.0
5408	0.0	0.0
3400	0.0	0.0
3407	0.0	0.0
3409	0.0	0.0
3416	0.0	0.0
3419	0.0	0.0
3423	0.0	0.0
3424	0.0	0.0
3425	0.0	0.0
5401	0.0	0.0
3432	0.0	0.0
3434	0.0	0.0
5400	0.0	0.0
5399	0.0	0.0
3439	0.0	0.0
5396	0.0	0.0
3445	0.0	0.0
3449	0.0	0.0
3317	0.0	0.0
3316	0.0	0.0
3315	0.0	0.0
3312	0.0	0.0
3143	0.0	0.0
3146	0.0	0.0
3150	0.0	0.0
3156	0.0	0.0
3159	0.0	0.0
5528	0.0	0.0
3165	0.0	0.0
3166	0.0	0.0
3137	0.0	0.0
5520	0.0	0.0
5516	0.0	0.0
3176	0.0	0.0
3180	0.0	0.0
5511	0.0	0.0
3186	0.0	0.0
3188	0.0	0.0
3189	0.0	0.0
5507	0.0	0.0
3170	0.0	0.0
5535	0.0	0.0
3125	0.0	0.0
5542	0.0	0.0
3075	0.0	0.0
3076	0.0	0.0
5559	0.0	0.0
3079	0.0	0.0
3083	0.0	0.0
3090	0.0	0.0
3097	0.0	0.0
3098	0.0	0.0
3099	0.0	0.0
5554	0.0	0.0
3103	0.0	0.0
5551	0.0	0.0
5548	0.0	0.0
5546	0.0	0.0
3111	0.0	0.0
3113	0.0	0.0
5544	0.0	0.0
3116	0.0	0.0
3117	0.0	0.0
5506	0.0	0.0
3500	0.0	0.0
5505	0.0	0.0
5504	0.0	0.0
3250	0.0	0.0
3251	0.0	0.0
3254	0.0	0.0
5478	0.0	0.0
3260	0.0	0.0
3266	0.0	0.0
3268	0.0	0.0
3269	0.0	0.0
3247	0.0	0.0
3272	0.0	0.0
5461	0.0	0.0
5460	0.0	0.0
5455	0.0	0.0
5450	0.0	0.0
3294	0.0	0.0
3297	0.0	0.0
3301	0.0	0.0
3306	0.0	0.0
3277	0.0	0.0
5481	0.0	0.0
3242	0.0	0.0
3241	0.0	0.0
3203	0.0	0.0
5497	0.0	0.0
5495	0.0	0.0
5494	0.0	0.0
3212	0.0	0.0
3216	0.0	0.0
3218	0.0	0.0
3220	0.0	0.0
3222	0.0	0.0
5492	0.0	0.0
3224	0.0	0.0
3226	0.0	0.0
5488	0.0	0.0
3230	0.0	0.0
3234	0.0	0.0
3235	0.0	0.0
3237	0.0	0.0
5483	0.0	0.0
5482	0.0	0.0
3199	0.0	0.0
3910	0.0	0.0
3501	0.0	0.0
3505	0.0	0.0
3761	0.0	0.0
3763	0.0	0.0
5257	0.0	0.0
3767	0.0	0.0
3768	0.0	0.0
3770	0.0	0.0
3772	0.0	0.0
3773	0.0	0.0
3758	0.0	0.0
3774	0.0	0.0
3779	0.0	0.0
5247	0.0	0.0
3783	0.0	0.0
3786	0.0	0.0
