	Posteriors	FDR
1713	0.0	0.0
5891	0.0	0.0
5888	0.0	0.0
1717	0.0	0.0
1718	0.0	0.0
4647	0.0	0.0
4649	0.0	0.0
3761	0.0	0.0
5885	0.0	0.0
1723	0.0	0.0
5884	0.0	0.0
1726	0.0	0.0
5882	0.0	0.0
1728	0.0	0.0
1729	0.0	0.0
1731	0.0	0.0
3758	0.0	0.0
4651	0.0	0.0
5878	0.0	0.0
1881	0.0	0.0
6089	0.0	0.0
5477	0.0	0.0
5475	0.0	0.0
3009	0.0	0.0
3010	0.0	0.0
5128	0.0	0.0
3012	0.0	0.0
3013	0.0	0.0
3016	0.0	0.0
3017	0.0	0.0
3018	0.0	0.0
3008	0.0	0.0
5121	0.0	0.0
5120	0.0	0.0
3022	0.0	0.0
3023	0.0	0.0
5118	0.0	0.0
5116	0.0	0.0
3026	0.0	0.0
3027	0.0	0.0
5115	0.0	0.0
3020	0.0	0.0
3030	0.0	0.0
3007	0.0	0.0
3005	0.0	0.0
5144	0.0	0.0
2984	0.0	0.0
2986	0.0	0.0
2987	0.0	0.0
2988	0.0	0.0
5140	0.0	0.0
3405	0.0	0.0
5139	0.0	0.0
4900	0.0	0.0
5137	0.0	0.0
2995	0.0	0.0
5136	0.0	0.0
2997	0.0	0.0
2998	0.0	0.0
5134	0.0	0.0
5133	0.0	0.0
3003	0.0	0.0
5130	0.0	0.0
2994	0.0	0.0
2982	0.0	0.0
3032	0.0	0.0
3034	0.0	0.0
5090	0.0	0.0
3398	0.0	0.0
3068	0.0	0.0
3394	0.0	0.0
3393	0.0	0.0
3075	0.0	0.0
3076	0.0	0.0
3391	0.0	0.0
3400	0.0	0.0
3078	0.0	0.0
5073	0.0	0.0
5072	0.0	0.0
5071	0.0	0.0
5070	0.0	0.0
3086	0.0	0.0
3390	0.0	0.0
3089	0.0	0.0
5063	0.0	0.0
5075	0.0	0.0
3033	0.0	0.0
4901	0.0	0.0
3059	0.0	0.0
3035	0.0	0.0
3036	0.0	0.0
3039	0.0	0.0
5110	0.0	0.0
5109	0.0	0.0
5108	0.0	0.0
3043	0.0	0.0
3044	0.0	0.0
5092	0.0	0.0
5105	0.0	0.0
3049	0.0	0.0
5103	0.0	0.0
3051	0.0	0.0
3052	0.0	0.0
5102	0.0	0.0
3054	0.0	0.0
5100	0.0	0.0
5099	0.0	0.0
3047	0.0	0.0
5061	0.0	0.0
5146	0.0	0.0
2978	0.0	0.0
2893	0.0	0.0
5185	0.0	0.0
5184	0.0	0.0
3424	0.0	0.0
4889	0.0	0.0
2900	0.0	0.0
5182	0.0	0.0
2902	0.0	0.0
5186	0.0	0.0
3422	0.0	0.0
5178	0.0	0.0
2908	0.0	0.0
2910	0.0	0.0
2912	0.0	0.0
2914	0.0	0.0
2915	0.0	0.0
2916	0.0	0.0
4893	0.0	0.0
4891	0.0	0.0
2918	0.0	0.0
5188	0.0	0.0
2889	0.0	0.0
3431	0.0	0.0
2866	0.0	0.0
5203	0.0	0.0
2870	0.0	0.0
5201	0.0	0.0
2872	0.0	0.0
2874	0.0	0.0
3430	0.0	0.0
4887	0.0	0.0
2878	0.0	0.0
2880	0.0	0.0
2881	0.0	0.0
5197	0.0	0.0
5196	0.0	0.0
4885	0.0	0.0
3427	0.0	0.0
2886	0.0	0.0
2887	0.0	0.0
5198	0.0	0.0
3406	0.0	0.0
2919	0.0	0.0
2921	0.0	0.0
